siren,nom_pappers,classification_finale,source_classification,objet_social,code_naf,libelle_naf,forme_juridique,adresse_ligne_1,code_postal,ville,latitude,longitude,enseigne,nom_commercial,date_creation,entreprise_cessee,date_cessation,nb_etablissements_actifs,nb_etablissements_total,procedure_collective_en_cours,derniere_procedure_type,siret_siege,has_panel_data,flag_multi_etabs
419705900,B M SERVICES,LS_INITIAL,A1_pure_or_probable,Pressing retouchés laverie automatique ou non nettoyage de locaux industriels ou particuliers ainsi que leurs biens meubles vente par correspondance et prestation de services,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2 RUE GEORGES MELIES,78390,BOIS-D'ARCY,48.80098404360371,2.0098060273621856,,STAR CLEAN,1998-07-24,False,,8,8,False,,41970590000084,1,1
838759389,CSR,LS_INITIAL,A1_pure_or_probable,Exploitation d'un fonds de commerce de laverie automatique.,96.01B,Blanchisserie-teinturerie de détail,"SAS, société par actions simplifiée",75 RUE DE BELLEVUE,92100,BOULOGNE-BILLANCOURT,48.83520199980187,2.2308660000031835,,AU FIL DE L'EAU,2018-04-01,False,,1,1,False,,83875938900011,1,0
835263112,LAVERIE O'CLEAN,LS_INITIAL,A1_pure_or_probable,Laverie livre service.,96.01B,Blanchisserie-teinturerie de détail,"SASU, société par actions simplifiée unipersonnelle",132 RUE DU CHEMIN VERT,75011,PARIS,48.86220099980183,2.385081000002547,,,2018-01-02,False,,1,1,False,,83526311200012,1,0
408418093,POINT LAVERIE SERVICE,LS_INITIAL,A1_pure_or_probable,"Laverie, libre-service",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",80 RUE MARGUERITE DE ROCHECHOUART,75009,PARIS,48.88226799980184,2.3467860000027057,,,1996-07-07,False,,1,1,False,,40841809300014,1,0
383613072,A.L.P.A,LS_INITIAL,A1_pure_or_probable,La création la vente l'achat et l'exploitation de laverie automatiques libre service pressing (en sous-traitance) dépôt de pressing,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",176 BOULEVARD CHARLES DE GAULLE,92700,COLOMBES,48.916316999801815,2.226977000003205,,,1991-10-31,False,,1,4,False,,38361307200016,1,0
839264587,G.F.J. CLEAN,LS_INITIAL,A1_pure_or_probable,"Blanchisserie, teinturerie, retouche, repassage",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",32 RUE FRANKLIN,92400,COURBEVOIE,48.90231299980181,2.267675000003036,,G.F.J. CLEAN,2018-04-01,False,,1,1,False,,83926458700016,1,0
509859914,SARL BLS,LS_INITIAL,A1_pure_or_probable,Laverie en libre-service,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",38 RUE DOMBASLE,75015,PARIS,48.835658999801865,2.299321000002901,,,2009-01-07,False,,4,6,False,,50985991400020,1,1
834318628,LAVERIE DU POTEAU,LS_INITIAL,A1_pure_or_probable,"La création, l'acquisition, l'exploitation de fonds de commerce de laverie automatique.",96.01B,Blanchisserie-teinturerie de détail,"SASU, société par actions simplifiée unipersonnelle",77 RUE DU POTEAU,75018,PARIS,48.89616799980182,2.33898000000274,,,2017-12-28,False,,1,1,False,,83431862800015,1,0
519414205,MULTI-SERVICE-LAVERIE,LS_INITIAL,A1_pure_or_probable,Laverie automatique,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",24 PLACE LOUIS ARAGON,92700,COLOMBES,48.91522299980181,2.228832000003198,LAVERIE LIBRE SERVICE,,2010-01-01,False,,1,2,False,,51941420500020,1,0
521841130,LAVE-NET,LS_INITIAL,A1_pure_or_probable,Laverie.,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",21 B RUE FUSTEL DE COULANGES,91300,MASSY,48.72881599980187,2.2775880000029853,,LAVE NET,2010-03-29,False,,3,8,False,,52184113000060,1,1
537811499,AJS CONCEPT,LS_INITIAL,A1_pure_or_probable,"Exploitation de laveries automatiques, vente de matériels de laverie et pressing, import export de tous biens, achat vente de véhicules, cycles, machines, mobiliers.",96.01B,Blanchisserie-teinturerie de détail,"SASU, société par actions simplifiée unipersonnelle",15 B RUE VIOLET,75015,PARIS,48.849190999801834,2.294544000002922,,LAVERIE Libre Service,2011-10-26,False,,9,9,False,,53781149900012,1,1
800088544,LAVERIE CLAVIJO LIBRE SERVICE,LS_INITIAL,A1_pure_or_probable,"La laverie, le repassage, et la retoucherie, de tous les articles d'habillement et de matières textiles,  effectués pour le compte de particuliers.",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2 AVENUE DESFEUX,92100,BOULOGNE-BILLANCOURT,48.83202199980184,2.2419870000031383,,,2014-01-26,False,,1,1,False,,80008854400013,1,0
819827049,XU,LS_INITIAL,A1_pure_or_probable,"Lavage de vêtements et articles textiles, la retouche et le repassage.",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",17 RUE DES FETES,75019,PARIS,48.87645499980183,2.3922010000025176,,,2016-04-19,False,,1,2,False,,81982704900027,1,0
