siren,nom_entreprise,chiffre_affaires,resultat,annee_finances,entreprise_cessee,classification,matched_google_lavoir,classification_v2
792872160,SAS V&T PRESSING,175479,30453.0,2024,0,PRESSING,False,PRESSING
495381550,BARBES-SEC,23875,747.0,2020,0,AMBIGU,False,AMBIGU
811100668,PRESSING H,190669,30181.0,2024,0,PRESSING,False,PRESSING
408418093,POINT LAVERIE SERVICE,34017,-7907.0,2024,0,LS_PURE,True,LS_PURE
383613072,A.L.P.A,33002,-340.0,2023,0,AMBIGU,True,LS_PROBABLE
839264587,G.F.J. CLEAN,67254,26326.0,2020,0,AMBIGU,True,LS_PROBABLE
528945595,PRESSING SAINT CHARLES,84259,26.0,2024,0,PRESSING,False,PRESSING
431712942,CALYPSO PRESSING,126501,-24249.0,2016,0,PRESSING,False,PRESSING
820378107,LES NOUVEAUX PRESSINGS INDUSTRIELS,150927,-55190.0,2018,0,PRESSING,False,PRESSING
878922863,JEPARIS,14436,-6233.0,2020,0,AMBIGU,False,AMBIGU
509859914,SARL BLS,467637,18445.0,2021,0,AMBIGU,True,LS_PROBABLE
300985397,SOLAPRES,43370,1605.0,2019,0,AMBIGU,False,AMBIGU
401054622,PRESSING 4,46677,-12438.0,2016,0,PRESSING,False,PRESSING
834318628,LAVERIE DU POTEAU,23755,4321.0,2018,0,LS_PURE,True,LS_PURE
513270108,HARMONY,183465,2581.0,2024,0,AMBIGU,False,AMBIGU
879650588,DELTA SERVICES,328750,17773.0,2022,0,AMBIGU,False,AMBIGU
852816396,ALOE PRESSING,167035,35508.0,2022,0,PRESSING,False,PRESSING
483659298,SARL MAYA,56635,-1177.0,2015,0,AMBIGU,False,AMBIGU
900073289,J.Z EXPRESS,23560,1265.0,2024,0,PRESSING,False,PRESSING
502831555,YLEAN,68740,1595.0,2022,0,AMBIGU,False,AMBIGU
572206852,CECIL PRESS,95074,-2809.0,2025,0,PRESSING,False,PRESSING
881795215,BOULAINVILLIERS PRESSING,150872,10686.0,2024,0,PRESSING,False,PRESSING
442779617,LAETITIA PRESSING,58507,-2702.0,2017,0,PRESSING,False,PRESSING
792647521,4 COM PRESS,69709,6035.0,2018,0,PRESSING,False,PRESSING
519414205,MULTI-SERVICE-LAVERIE,110277,14570.0,2015,0,LS_PURE,True,LS_PURE
839731502,PRESSING NAVARIN,126951,25735.0,2023,0,PRESSING,False,PRESSING
521841130,LAVE-NET,96360,4668.0,2024,0,AMBIGU,True,LS_PROBABLE
537811499,AJS CONCEPT,248226,4033.0,2021,0,AMBIGU,True,LS_PROBABLE
800088544,LAVERIE CLAVIJO LIBRE SERVICE,54125,2548.0,2024,0,LS_PURE,False,LS_PURE
411442353,FIRST CLEAN INTERNATIONAL,12204,364.0,2021,0,AMBIGU,False,AMBIGU
819827049,XU,76505,-4623.0,2024,0,AMBIGU,True,LS_PROBABLE
