siren,nom,annee,chiffre_affaires,resultat,marge_brute,excedent_brut_exploitation,resultat_exploitation,marge_nette,taux_marge_EBITDA,taux_marge_operationnelle,dettes_financieres,tresorerie,capacite_autofinancement,valeur_ajoutee,salaires_charges_sociales,BFR,ratio_endettement,autonomie_financiere,rentabilite_economique,rentabilite_fonds_propres,effectif
523987410,CITE LAVERIE,2024,108900,17474,105423,21781,17697,16,20,16.3,,35154,21559,30947,5399,-100649,-1.6,17.6,13.7,77.8,
523987410,CITE LAVERIE,2023,95017,15821,0,0,0,,,,,0,0,0,0,0,,,,,
523987410,CITE LAVERIE,2022,0,0,0,0,0,,,,,0,0,0,0,0,,,,,
523987410,CITE LAVERIE,2021,76033,18387,70329,12754,9798,24.2,16.8,12.9,,25539,21344,23389,7142,-88322,-1.1,20.7,16.3,78.6,
523987410,CITE LAVERIE,2020,70918,6992,0,0,0,,,,,0,0,0,0,0,,,,,
523987410,CITE LAVERIE,2019,76577,16081,0,0,0,,,,,0,0,0,0,0,,,,,
523987410,CITE LAVERIE,2018,76539,9379,0,0,0,,,,,0,0,0,0,0,,,,,
523987410,CITE LAVERIE,2017,72935,3198,0,0,0,,,,,0,0,0,0,0,,,,,
523987410,CITE LAVERIE,2016,71216,4679,0,0,0,,,,,0,0,0,0,0,,,,,
523987410,CITE LAVERIE,2015,0,0,0,0,0,,,,,0,0,0,0,0,,,,,
441498581,J & H SERVICES,2023,72003,25546,72013,31133,30463,35.5,43.2,42.3,,33449,26216,31551,,-19103,-0.5,78.2,28.6,36.6,
441498581,J & H SERVICES,2022,0,0,0,0,0,,,,,0,0,0,,0,,,,,
849641691,A LAVE VERSAILLAISE,2024,115697,17844,112407,34767,24737,15.4,30.1,21.4,273222,11547,28898,37713,1440,718,4.5,17.1,5.2,30.7,
849641691,A LAVE VERSAILLAISE,2023,106648,18273,102588,39398,26048,17.1,36.9,24.4,302244,19713,31623,42695,1768,-16227,7,11.2,5.1,45.3,
849641691,A LAVE VERSAILLAISE,2022,111905,15773,110008,28300,17698,14.1,25.3,15.8,207223,5501,26374,35202,3848,-50534,9.1,7.9,5.6,71.4,
849641691,A LAVE VERSAILLAISE,2021,88474,2231,84399,13895,5032,2.5,15.7,5.7,231428,9,12479,17199,2132,-328,36.6,2.6,0.9,35.3,
849641691,A LAVE VERSAILLAISE,2020,60188,1065,58415,10823,2448,1.8,18,4.1,158923,0,9440,12903,1508,556,38.8,2.5,0.7,26,
790924336,LOVE WASH,2017,22535,-1944,22150,254,-1933,-8.6,1.1,-8.6,926,,244,1092,,-38816,-0.1,-37.3,-5.9,15.9,
790924336,LOVE WASH,2016,25135,4330,25644,7710,4881,17.2,30.7,19.4,47,14,7158,7851,,-35710,0,-33,13.9,-42.1,
790924336,LOVE WASH,2015,26809,3805,26218,10924,7922,14.2,40.7,29.5,42,122,6807,12057,,-39522,0,-41.6,10.8,-26,
790924336,LOVE WASH,2014,0,0,0,0,0,,,,0,0,0,0,,0,,,,,
732067897,NORD DE PARIS SERVICES,2024,186680,16315,184490,20960,19194,8.7,11.2,10.3,23837,87631,18081,39577,16460,-21441,-0.7,62.3,11.9,19.1,
732067897,NORD DE PARIS SERVICES,2023,168802,16315,167802,29632,29667,14.9,17.6,17.6,19545,66707,26845,50319,17817,-19610,-0.7,63,22.9,36.4,
732067897,NORD DE PARIS SERVICES,2022,133622,3613,167802,29632,29667,14.9,17.6,17.6,19545,66707,26845,50319,17817,-19610,-0.7,63,22.9,36.4,
732067897,NORD DE PARIS SERVICES,2021,118776,26638,0,0,0,,,,,0,0,0,0,0,,,,,0
