idx,gmaps_name,gmaps_lat,gmaps_lng,gmaps_addr,statut,n_candidats,siren_retenu,nom_retenu,adr_retenue,candidats_autres,flags
78,Laverie Libre Service / Laundromat | Paris 16,48.8619178,2.2829986,"21 Rue Pétrarque, 75116 Paris, France",MATCHE_PROXIMITE,2,402318109,CLEANMATIC,21 RUE PETRARQUE 75016,920330362:BLUEWASH SAS,MULTI_CANDIDAT; NOUVEAU
79,Laverie Speed Queen Paris 17 - Saussure,48.8894054,2.3080358,"3 Sq. Paul Paray, 75017 Paris, France",MATCHE_PROXIMITE,1,931352579,REBIBO WASHING,142 RUE DE SAUSSURE 75017,,NOUVEAU
80,LAVERIE AUTOMATIQUE LAUNDRY 25 RUE SAINT DIDIER 75116 PARIS,48.8660732,2.2868462,"25 Rue Saint-Didier, 75116 Paris, France",MATCHE_EXACT,2,552133084,A VOTRE SERVICE,25 RUE SAINT DIDIER 75016,800456576:PRESSING POINCARE,MULTI_CANDIDAT; DEJA_MATCHE_AILLEURS
81,Laverie Paris 16 - Laverie Smile - Laverie libre service,48.8529525,2.2752868,"3 Rue de l&#x27;Assomption, 75016 Paris, France",MATCHE_PROXIMITE,1,804180958,WHITE BEAR FINANCE,3 RUE DE L'ASSOMPTION 75016,,NOUVEAU; MULTI_ETAB(x2)
82,SBS Laverie Libre Service,48.8752171,2.2849378,"19 Rue Pergolèse, 75116 Paris, France",MATCHE_PROXIMITE,2,572079887,QUICK PRESSING PERGOLESE,15 RUE PERGOLESE 75016,339763898:SESEL,MULTI_CANDIDAT; NOUVEAU
83,La Laverie Des Belles Feuilles,48.866122800000014,2.2825867,"75016 Paris, France",MATCHE_EXACT,2,383474947,DELROCHE,9 RUE DES BELLES FEUILLES 75016,418782025:5ASEC R I F,MULTI_CANDIDAT; DEJA_MATCHE_AILLEURS
84,Laverie Montmartre Poissonniers,48.899457100000014,2.3525763,"26 Av. de la Prte des Poissonniers, 75018 Paris, France",MATCHE_PROXIMITE,2,793165234,LAVE MONT LAVERIES MONTMARTRE,78 BD NEY 75018,507515708:BENMANSOUR SALEM,MULTI_CANDIDAT; DEJA_MATCHE_AILLEURS
85,Laverie Electrolux,48.879566,2.3985575,"20 Rue de l&#x27;Inspecteur Allés, 75019 Paris, France",MATCHE_PROXIMITE,1,833739006,LAVERIE ALLES,20 RUE INSPECTEUR ALLES 75019,,NOUVEAU
86,Laverie Automatique,48.8637777,2.4074719,"1 Rue de la Py, 75020 Paris, France",MATCHE_PROXIMITE,1,951390202,3A PARIS BAGNOLET,169 RUE DE BAGNOLET 75020,,NOUVEAU
87,Bar La Laverie,48.8685989,2.3900762,"1 rue Sorbier angle, 70 Rue de Ménilmontant, 75020 Paris, France",NON_MATCHE,0,,,,,"probablement un bar, pas une vraie laverie"
88,Laverie 7/7,48.911612,2.2853329,"38 Av. d&#x27;Argenteuil, 92600 Asnières-sur-Seine, France",NON_MATCHE,0,,,,,
89,Laverie automatique,48.9145807,2.2932539,"Laverie automatique, 34 Rue de Prony, 92600 Asnières-sur-Seine, France",MATCHE_PROXIMITE,1,834393837,ZEK LAV,34 RUE DE PRONY 92600,,NOUVEAU
90,Laverie sceaux fontenay aux roses,48.78473489999999,2.3017334,"8 Rue du Dr Roux, 92330 Sceaux, France",MATCHE_PROXIMITE,1,478339146,KRID KARIMA,6 RUE DU DOCTEUR ROUX 92330,,NOUVEAU
91,Laverie S.B.S,48.9041276,2.3027169,"92110 Clichy, France",MATCHE_PROXIMITE,2,331022764,SBS SERGE BLANC SERVICE,16 RUE MEDERIC 92110,487953473:CLICHY PRESSING SARL,MULTI_CANDIDAT; NOUVEAU
92,Laverie rue de l'eglise Chatenay Malabry,48.7666161,2.2794763,"5 Rue de l&#x27;Église, 92290 Châtenay-Malabry, France",NON_MATCHE,0,,,,,
93,Laverie Libre Service S.B.S,48.8008374,2.2863856,"Rue Lasègue, 92320 Châtillon, France",MATCHE_PROXIMITE,2,487649964,GIFFOISE,56 RUE GABRIEL PERI 92320,535406375:SAVOIR FER,MULTI_CANDIDAT; DEJA_MATCHE_AILLEURS
94,Laverie du parc,48.8001435,2.2904847,"6 Pl. de l&#x27;Église, 92320 Châtillon, France",NON_MATCHE,0,,,,,
95,Laverie automatique Boucicaut Wash’n Dry – Paris 15,48.84233110000001,2.2865649,"7 Rue Marguerite Boucicaut, 75015 Paris, France",NON_MATCHE,0,,,,,
96,Eclat Laverie,48.8236436,2.2114523,"9 Rue du 8 Mai 1945, 92310 Sèvres, France",MATCHE_PROXIMITE,2,333004604,JESSI-BLANC,9 AV DE L'EUROPE 92310,325844686:T PRESS,MULTI_CANDIDAT; DEJA_MATCHE_AILLEURS; MULTI_ETAB(x3)
97,Lavomatic,48.8236831,2.2114663,"9 Rue du 8 Mai 1945, 92310 Sèvres, France",MATCHE_PROXIMITE,2,333004604,JESSI-BLANC,9 AV DE L'EUROPE 92310,325844686:T PRESS,MULTI_CANDIDAT; DEJA_MATCHE_AILLEURS; MULTI_ETAB(x3)
98,Laverie Automatique Pako,48.8836494,2.1715229,"32 Rue des Frères Lumière, 92500 Rueil-Malmaison, France",NON_MATCHE,0,,,,,
99,Laverie ds libre-service,48.9314718,2.2754262,"89 Rue des Mourinoux, 92600 Asnières-sur-Seine, France",NON_MATCHE,0,,,,,
100,Lavomatic,48.8240504,2.2081785,"5 Rue de ville d&#x27;Avray, 92310 Sèvres, France",MATCHE_PROXIMITE,1,519882377,LAVERIE FJL,3 RUE DE VILLE D'AVRAY 92310,,DEJA_MATCHE_AILLEURS; MULTI_ETAB(x2)
101,Laverie Revolution Laundry,48.7662695,2.2730531,"139 Av. Roger Salengro CREPS, 92290 Châtenay-Malabry, France",NON_MATCHE,0,,,,,
102,Laverie Damaro,48.8884058,2.2985179,"5 Rue Jules Bourdais, 75017 Paris",MATCHE_EXACT,2,801869488,DAMARO SELF SERVICES,2 RUE GERVEX 75017,552135196:SOC LA LAVANDIERE MODERNE,MULTI_CANDIDAT; NOUVEAU
