siren,nom_orig,nom_pappers,objet_social,code_naf,libelle_naf,forme_juridique,date_creation,entreprise_cessee,date_cessation,adresse_ligne_1,complement_adresse,code_postal,ville,latitude,longitude,enseigne,nom_commercial,siret_siege,nb_etablissements_actifs,nb_etablissements_total,procedure_collective_en_cours,derniere_procedure_type,classification_finale,source_classification
824268841,THOLEA,THOLEA,"Laverie, dépôt de blanchisserie et de pressing.",96.01B,Blanchisserie-teinturerie de détail,"SAS, société par actions simplifiée",2016-12-12,False,,36 RUE ERNEST RENAN,,92130,ISSY-LES-MOULINEAUX,48.82811399980186,2.281078000002976,ISSY PRESSING,ISYY PRESSING,82426884100015,1,1,False,,MIXTE,A4_reclass
404167439,MONISOK,MONISOK,"LAVERIE AUTOMATIQUE, LIBRE SERVICE",96.01B,Blanchisserie-teinturerie de détail,"SASU, société par actions simplifiée unipersonnelle",1996-01-02,False,,2 RUE DU SOLEIL,,75020,PARIS,48.875139999801824,2.39401000000251,,,40416743900029,1,2,False,,LS_PURE_NEW,A4_reclass
424005866,MAKHA,MAKHA,"Pressing, Retoucherie",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",1999-08-01,False,,CENTRE COMMERCIAL CHARRAS,CHARRAS,92400,COURBEVOIE,0,0,,,42400586600019,1,1,False,,PRESSING,A4_reclass
572031417,DETACHENET,DETACHENET,Teinturerie dégraissage avec spécialité de nettoyage des tissus d'ameublement a domicile et a l'atelier,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",1957-01-01,False,,26 RUE FREYCINET,,75016,PARIS,48.86697399980185,2.2959510000029155,,,57203141700023,1,1,False,,PRESSING,A4_reclass
533524641,LE MIMOSA,LE MIMOSA,"Pressing, teinturerie, nettoyage à sec.",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2011-07-12,False,,206 RUE ADOLPHE PAJEAUD,,92160,ANTONY,48.74075899980186,2.2815720000029684,PRESSING DE LA BIEVRE,,53352464100016,1,1,False,,PRESSING,A4_reclass
539575258,BLANCHINET,BLANCHINET,Laverie automatique repassage et dépot de teinturerie.,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2012-01-01,False,,16 RUE JEAN NICOT,,93500,PANTIN,48.891465999801845,2.416151000002419,,,53957525800014,1,2,False,,LS_PURE_NEW,A4_reclass
498053560,KEN,KEN,"Pressing, blanchisserie, retouche, nettoyage de tous textiles et sous toutes ses formes.",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2007-05-03,False,,1 PLACE DE BRUHL,,92330,SCEAUX,48.77851399980184,2.2933630000029215,,,49805356000021,1,2,False,,PRESSING,A4_reclass
751154196,N.V.P,N.V.P,"Pressing, nettoyage de vêtements, laverie, retoucherie.",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2012-04-03,False,,13 RUE DE PICPUS,,75012,PARIS,48.846854999801835,2.394055000002508,,,75115419600016,1,1,False,,MIXTE,A4_reclass
798937512,L'O CLAIRE,L'O CLAIRE,Pressing,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2013-12-04,False,,664 AVENUE ROGER SALENGRO,,92370,CHAVILLE,48.81528499980184,2.1933750000033383,,PRESSING L'O CLAIRE,79893751200027,1,2,False,Liquidation judiciaire,PRESSING,A4_reclass
352256374,CTI FLASH LIGHT,CTI FLASH LIGHT,"Blanchisserie, teinturerie, pressing",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",1989-11-01,False,,17 RUE GEORGES BIZET,,75016,PARIS,48.86728696716438,2.2977330028869702,,TEINTURERIE DU MAINE,35225637400088,1,7,False,,PRESSING,A4_reclass
450222450,AJBM ALAZARD,AJBM ALAZARD,"Laverie, pressing automatique",96.01B,Blanchisserie-teinturerie de détail,"SAS, société par actions simplifiée",2003-09-01,False,,40 RUE NOTRE-DAME DE LORETTE,,75009,PARIS,48.87922999980184,2.3366830000027474,PRESSING NETOMATIQUE,,45022245000048,1,4,False,,MIXTE,A4_reclass
403674666,K 2 M,K 2 M,LAVERIE,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",1996-02-01,False,,116 RUE ORFILA,,75020,PARIS,48.86814499980182,2.4007210000024832,,,40367466600017,1,1,False,,LS_PURE_NEW,A4_reclass
793855388,BLACK WHITE,BLACK WHITE,"Teinturerie, pressing, laverie.",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2013-06-17,False,,72 RUE DE DUNKERQUE,,75009,PARIS,48.88227199980183,2.346088000002709,BLACK WHITE,BLACK WHITE,79385538800013,1,1,False,,MIXTE,A4_reclass
481069672,AYER,AYER,"PRESSING, BLANCHISSERIE, TEINTURERIE, RETOUCHERIE",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2005-03-01,False,,54 AVENUE DU DOCTEUR ARNOLD NETTER,,75012,PARIS,48.84499799980185,2.40595500000246,,,48106967200014,1,1,False,,PRESSING,A4_reclass
384683256,SARL BICHAT,SARL BICHAT,TEINTURERIE BLANCHISSERIE PRESSING ET NEGOCE DE LA LINGERIE,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",1992-03-20,False,,41 RUE BICHAT,,75010,PARIS,48.87219099980184,2.3670360000026234,,BLANCHISSERIE BICHAT,38468325600026,1,2,False,,PRESSING,A4_reclass
497727255,LYSMUS,LYSMUS,"Teinturerie, blanchisserie, pressing",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2007-04-16,False,,68 BOULEVARD ORNANO,,75018,PARIS,48.89636599980183,2.3459400000027113,,,49772725500018,1,1,False,,PRESSING,A4_reclass
